名詞,名詞数,動詞,動詞数,形容詞,形容詞数
有り,103,勝つ,46.0,雄々しい,1.0
事情,20,いかれる,34.0,口煩い,1.0
逆,69,干す,4.0,甲高い,2.0
笑い,123,噛み締める,9.0,素っ気ない,2.0
最高,121,通う,26.0,気怠い,1.0
青二才,4,立てる,34.0,酸っぱい,7.0
先生,122,動かす,12.0,こっ酷い,1.0
友情,5,痛める,4.0,潔い,1.0
三,96,くっ付ける,17.0,重たるい,1.0
代,41,来たる,6.0,野太い,1.0
襟,1,備える,3.0,くどい,1.0
ベビー-baby,10,感ずる,193.0,毒々しい,1.0
誕生,31,早まる,3.0,聞き苦しい,1.0
公表,6,怯える,14.0,みみっちい,1.0
ムード-mood,39,思い知らす,2.0,程良い,3.0
一色,3,盛り上がる,33.0,素早い,1.0
訳,805,嘗める,97.0,疾い,1.0
エリ,4,損する,11.0,凛々しい,1.0
位置,38,立ち会う,4.0,さり気無い,1.0
キャラ-character,105,萌える,37.0,図太い,1.0
他,192,楽しむ,67.0,焦げ臭い,2.0
阿鼻,4,苦しむ,35.0,気難しい,1.0
叫喚,4,癒す,7.0,疚しい,4.0
地獄,86,癒える,3.0,痛痒い,1.0
プライベート-private,7,負う,23.0,白々しい,1.0
法律,22,捕まる,13.0,いじましい,1.0
婚,22,見付かる,20.0,煙たい,4.0
そう-伝聞,73,起こる,47.0,酒臭い,1.0
進歩,13,掻い潜る,2.0,,
考え,43,照れる,14.0,,
明日,127,次ぐ,13.0,,
バン-vin,12,通る,61.0,,
サガ-saga,15,遣らかす,60.0,,
アエラ-Aera,1,繰り返す,31.0,,
ゼネラル-general,3,憎む,11.0,,
ルージュ-rouge,4,憚る,5.0,,
視聴,35,足掻く,3.0,,
職,19,離れる,50.0,,
堅気,2,注ぐ,5.0,,
敬遠,3,作り上げる,8.0,,
自覚,136,受け止める,32.0,,
トワ-外国,1,向ける,44.0,,
プレ-pre,16,引く-他動詞,66.0,,
アクション-action,9,揉める,18.0,,
音痴,3,売れる,20.0,,
敵,42,見習う,2.0,,
所,730,追う,7.0,,
シリーズ-series,38,ちびる,8.0,,
剣,13,打つ,99.0,,
幻,14,迷い込む,2.0,,
水,62,開ける,54.0,,
スコット-Scott,6,現われる,15.0,,
ピルグリム-pilgrim,6,包む,6.0,,
邪悪,80,捲る,152.0,,
元彼,8,暮らす,23.0,,
軍団,10,魂消る,7.0,,
銀河,7,食べる,398.0,,
ヒッチハイク-hitchhike,7,問う,12.0,,
ガイド-guide,7,掛ける,230.0,,
乗り,33,割る,41.0,,
パンク-punk,26,ごまかす,38.0,,
